Sat Jan 24 20:27:29 2015 us=570420   occ = ENABLED
Sat Jan 24 20:27:29 2015 us=570998   rcvbuf = 65536
Sat Jan 24 20:27:29 2015 us=571553   sndbuf = 65536
Sat Jan 24 20:27:29 2015 us=572140   sockflags = 0
Sat Jan 24 20:27:29 2015 us=572696   fast_io = DISABLED
Sat Jan 24 20:27:29 2015 us=573300   lzo = 7
Sat Jan 24 20:27:29 2015 us=573846   route_script = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=574411   route_default_gateway = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=574978   route_default_metric = 0
Sat Jan 24 20:27:29 2015 us=575526   route_noexec = DISABLED
Sat Jan 24 20:27:29 2015 us=576065   route_delay = 0
Sat Jan 24 20:27:29 2015 us=576635   route_delay_window = 30
Sat Jan 24 20:27:29 2015 us=577505   route_delay_defined = DISABLED
Sat Jan 24 20:27:29 2015 us=578080   route_nopull = DISABLED
Sat Jan 24 20:27:29 2015 us=578645   route_gateway_via_dhcp = DISABLED
Sat Jan 24 20:27:29 2015 us=579297   max_routes = 100
Sat Jan 24 20:27:29 2015 us=579865   allow_pull_fqdn = DISABLED
Sat Jan 24 20:27:29 2015 us=580772   management_addr = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=581321   management_port = 0
Sat Jan 24 20:27:29 2015 us=581883   management_user_pass = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=582472   management_log_history_cache = 250
Sat Jan 24 20:27:29 2015 us=583108   management_echo_buffer_size = 100
Sat Jan 24 20:27:29 2015 us=583683   management_write_peer_info_file = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=584238   management_client_user = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=584817   management_client_group = '[UNDEF]'
Sat Jan 24 20:27:29 2015 us=585371   management_flags = 0
Sat Jan 24 20:27:29 2015 us=585941   shared_secret_file = '/etc/openvpn/server/192.168.13.0_psk/192.168.13.0_psk_static.key'
Sat Jan 24 20:27:29 2015 us=586520   key_direction = 0
Sat Jan 24 20:27:29 2015 us=587090   ciphername_defined = ENABLED
Sat Jan 24 20:27:29 2015 us=587642   ciphername = 'BF-CBC'
Sat Jan 24 20:27:29 2015 us=588234   authname_defined = ENABLED
Sat Jan 24 20:27:29 2015 us=588795   authname = 'SHA1'
Sat Jan 24 20:27:29 2015 us=589360   prng_hash = 'SHA1'
Sat Jan 24 20:27:29 2015 us=589946   prng_nonce_secret_len = 16
Sat Jan 24 20:27:29 2015 us=590738   keysize = 0
Sat Jan 24 20:27:29 2015 us=591287   engine = DISABLED
Sat Jan 24 20:27:29 2015 us=591850   replay = ENABLED
Sat Jan 24 20:27:29 2015 us=592411   mute_replay_warnings = DISABLED
